Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.17636529137106502,0.0008790493011474609,776.3444376170412,740.4524373829588,0.0012754499912261963,785.6440191947565,689.443981156367,0.0016021132469177246,772.0223256086142,719.5196190308989,0.006142377853393555,576.352264747191,1673.8066186797753,0.023815929889678955,327.4278733614233,1090.3205465823971,0.3039490580558777,671.3407800795881,941.7822448501873,0.3471526503562927,1000.6893726591761,1482.0049157303372,0.020361602306365967,705.7448209269664,981.8642468398876,0.003649681806564331,307.93363764044943,1946.3723080524346,0.7302425503730774,522.2997863998128,1207.237974016854,0.6689080595970154,525.5564577481274,1230.9231624531835,0.014343857765197754,1177.2349016853934,1900.5634070692884,0.1295304000377655,408.8819639513109,1644.9945868445693,0.49329519271850586,745.2323267790262,555.5338907420412,0.22413116693496704,752.3115636704119,565.5429614349251,0.010169267654418945,466.0248419943821,1901.1759714419477,0.018761545419692993,543.9069083567416,1167.504535346442
1,0.16781238948597627,0.0006596744060516357,774.1878803838952,745.4803078183521,0.0008213818073272705,775.5523613061798,717.025471090824,0.0012987256050109863,770.6798630617977,721.7583977059925,0.003423839807510376,581.7275280898876,1679.2475713951312,0.026888251304626465,324.13089595037457,1101.8299391385767,0.17333516478538513,678.0164442883895,947.2984696863297,0.23951596021652222,988.9646242977528,1456.7172869850187,0.011280417442321777,614.681647940075,1002.0044036750936,0.004998505115509033,324.6618972378277,1942.598753511236,0.7585175037384033,526.0025310159176,1214.8738149578653,0.6443509459495544,530.1307935393259,1232.8575608614233,0.012735754251480103,1174.7354868913858,1897.482736423221,0.11323985457420349,401.2568030196629,1629.4753628277153,0.5795268416404724,743.6873098080525,554.9768843632959,0.25101998448371887,749.7274403089889,564.2803063553371,0.0142098069190979,853.7720915262173,1879.4699496722847,0.016988009214401245,500.6717433286517,1749.21875
2,0.15858355164527893,0.001154392957687378,790.1313055945693,709.0090268024345,0.002010434865951538,786.8729517790262,694.4759480337079,0.0022040605545043945,783.810861423221,700.506642088015,0.004295825958251953,527.9179102294008,1627.7655372191011,0.0483645498752594,328.53537570224717,1103.189299508427,0.09429582953453064,670.3594627808989,939.2568615402622,0.19192609190940857,1021.4271711142324,1512.102498829588,0.012208402156829834,610.9827803136704,1005.7440894194757,0.011159241199493408,483.5901656132959,1959.0702539794008,0.6999356746673584,523.4140917602997,1206.46952539794,0.6089600920677185,531.3353669241574,1230.675474016854,0.014137297868728638,689.6121547284645,1895.6782537453184,0.10815733671188354,401.21174215823976,1610.054131554307,0.5744064450263977,741.9019194756554,553.9641488178839,0.30463719367980957,747.9946453651685,563.995859667603,0.005714505910873413,456.8711230102997,1926.569229868914,0.012353003025054932,519.5172782069288,1181.6706899578653
3,0.15760325333651373,0.0022949576377868652,778.0811095505619,757.351723431648,0.003590494394302368,782.8299830290262,696.1266678370787,0.00602605938911438,774.5499034410113,722.1474133895132,0.005691260099411011,771.6846617509364,720.7816157537453,0.1124768853187561,331.0773642322098,1080.9421084971912,0.14735639095306396,662.4680331226591,957.8515625,0.21859771013259888,1024.463512406367,1519.7545060861423,0.016432523727416992,615.5528002106741,1008.4399871254682,0.006468832492828369,315.08053897471916,1944.2848782771537,0.6176739931106567,527.6322565543071,1216.9186709971912,0.6737470030784607,530.4054746020599,1235.4213483146068,0.01895955204963684,699.4918948970037,1910.5369264981275,0.09684857726097107,382.37688728932585,1625.801878511236,0.46239137649536133,742.4361393960673,561.179921582397,0.25143706798553467,750.2257432116105,585.2034688085206,0.011553794145584106,366.3741368211611,1913.6837254213483,0.027708828449249268,355.45090121722853,1918.0316596441949
4,0.16978859200197108,0.004195034503936768,779.7543597846443,717.2480688202247,0.002938568592071533,779.6359287219102,699.0614027387641,0.010352522134780884,774.0201457162921,702.0711903089888,0.007276803255081177,769.2152387640449,713.769458099251,0.07750222086906433,776.5085147471912,712.6015332397004,0.2388777732849121,673.8456080290262,973.8301732209738,0.2284775674343109,1018.3706402153559,1512.96406835206,0.012157142162322998,718.3716643258426,997.1376111891386,0.007924556732177734,311.70316889044943,1954.251960440075,0.7820751667022705,523.1149051966293,1210.6149783473784,0.7280051708221436,523.5881173923221,1235.6276334269664,0.014539539813995361,832.6694171348315,1883.3274812734082,0.08972552418708801,385.2498098080524,1642.1803312265918,0.39437684416770935,745.2912862827716,557.4553780430712,0.26519775390625,752.1812090355807,582.5846354166667,0.006113708019256592,371.7641766151686,1910.6865929307116,0.016670167446136475,365.4637025983146,1918.8671875
5,0.16988511295879588,0.011599302291870117,783.0905459971912,744.3436183286517,0.007378876209259033,787.3076866807116,698.0339273174158,0.02799057960510254,781.0208187031835,699.04296875,0.011160492897033691,777.5164589185395,712.5602030664794,0.1610165238380432,779.8768141385767,707.3790086610487,0.19343867897987366,675.6781805945693,976.8425942181648,0.30177921056747437,1017.7984550561798,1515.9120435393259,0.00947040319442749,610.6063465589889,1016.127033590824,0.00723421573638916,458.1819112827716,1993.2272647471912,0.6657921075820923,522.2900573501873,1217.6706606975656,0.7410466074943542,535.1299888810862,1237.2144194756554,0.012649595737457275,1174.4422986891386,1898.0569698033707,0.12363734841346741,397.2444844335206,1630.2956753277153,0.28172093629837036,746.2463424625469,563.3414530664794,0.29930180311203003,756.7147998595506,581.7591292134832,0.00705370306968689,377.7282303370787,1912.5260416666667,0.025776535272598267,536.9832631086142,1159.8060773642324
6,0.16041545657550588,0.009685486555099487,781.6089507256554,743.3039998829588,0.0055655837059021,781.6695195458801,695.7339214653558,0.022936135530471802,777.650544241573,697.1534849016854,0.012862354516983032,773.2910522003747,711.2507315074906,0.11078411340713501,776.6664472144196,706.3733321629214,0.2564813494682312,672.696482911985,975.7452598314607,0.2358095943927765,1018.5801439606741,1512.8682408707866,0.012411057949066162,717.6328417602997,998.5086025280899,0.00725892186164856,355.01770248127343,1659.6801849250937,0.6611679196357727,531.0526392790263,1215.5117626404494,0.6134108304977417,532.4017585440075,1216.6004652387642,0.01780688762664795,695.9318673923221,1911.1443703183522,0.132407546043396,387.8342257724719,1631.121400983146,0.3620012402534485,749.8373127340824,554.1925620318352,0.22747120261192322,760.5989583333335,587.8247527504682,0.0076246559619903564,746.9193293539327,762.8773115636704,0.0313778817653656,540.3154991807116,1157.217272354869
7,0.13827785148340113,0.005177170038223267,786.5787394662921,717.625160931648,0.0020415782928466797,780.2685363998128,691.2933783941947,0.007555156946182251,777.5568381320224,694.7591877340824,0.007722318172454834,776.3410726825844,706.6490373361423,0.05423349142074585,774.8556735720974,706.0186973314607,0.15970554947853088,666.5335323033707,978.0880588717229,0.24625831842422485,1018.2752516385767,1487.440162687266,0.008365631103515625,714.5676059222847,998.6142322097379,0.009868711233139038,460.7514044943821,1998.5641970973784,0.5998656153678894,531.5355805243446,1201.1593662219102,0.6078115701675415,545.099923923221,1195.5687470739701,0.0171644389629364,718.7047196863296,1909.809076544944,0.08980602025985718,400.32025397940083,1636.6514513108614,0.3208457827568054,746.1841643258426,552.6616265800562,0.18576496839523315,768.4457660346443,580.9585308403558,0.009088337421417236,417.2182964653558,1917.0787979868915,0.019448816776275635,534.9461610486892,1154.1763225655432
8,0.1416220577324138,0.008008301258087158,790.9346471207866,703.7961581226592,0.002309441566467285,784.779304190075,681.9379827949439,0.010617882013320923,782.6139688670412,684.8234872425094,0.008292526006698608,778.9793275983147,703.777577832397,0.06786477565765381,779.5295675327716,703.2575491573034,0.14149266481399536,664.4463219803372,976.9256934691011,0.34892094135284424,1016.6760299625469,1517.4824438202247,0.01069563627243042,717.7896769662921,996.6986335440075,0.005426466464996338,935.0196044007491,1885.8050971441949,0.5835579633712769,523.7286399812734,1216.8802668539327,0.527603030204773,525.5010094803371,1215.4793568586142,0.01769140362739563,691.6605220037454,1907.649373829588,0.06728142499923706,402.6354020365169,1630.8630325374531,0.3275120258331299,749.8111979166667,549.3596383426966,0.24949315190315247,764.7394370318352,578.9560290847378,0.007449924945831299,423.8732590121723,1904.838922050562,0.023357421159744263,534.0672547986892,1155.5582133661048
9,0.15924501419067383,0.01347455382347107,785.9522033005619,702.1907186329588,0.005646556615829468,782.4389191245318,685.453754096442,0.03072163462638855,781.8228435159176,687.2414121020599,0.012109756469726562,776.3087400514983,708.1184895833334,0.11122259497642517,778.9944698033707,704.4254008661048,0.2668606638908386,675.4304921582398,942.131100772472,0.21907204389572144,1020.3947214419477,1517.9206168071162,0.011854499578475952,607.0583157771537,1019.7658444522473,0.006755858659744263,447.85295236423224,1968.8317825374534,0.6352645754814148,530.5487769194757,1224.2481566011236,0.6136747598648071,526.4406308520599,1218.0056911282772,0.01548042893409729,1174.1965121722847,1898.6802141853934,0.0822012722492218,404.1025134597379,1625.4925971441949,0.3640049695968628,748.4486189138577,563.8115929307116,0.2860914468765259,767.6347436797753,575.0020482209738,0.006002634763717651,413.1956636235956,1910.8448911516855,0.026726990938186646,534.7806209035581,1160.338834269663
